CATH FunFam ID,CATH Family,Functional Family
1.10.150.130.FF7246,1.10.150.130,FF7246
3.40.50.720.FF139932,3.40.50.720,FF139932
1.20.5.190.FF4464,1.20.5.190,FF4464
3.65.10.10.FF7962,3.65.10.10,FF7962
2.30.30.140.FF4580,2.30.30.140,FF4580
2.120.10.80.FF4975,2.120.10.80,FF4975
3.30.530.20.FF1613,3.30.530.20,FF1613
3.80.10.10.FF106236,3.80.10.10,FF106236
3.30.1300.30.FF1218,3.30.1300.30,FF1218
3.30.1360.40.FF4243,3.30.1360.40,FF4243
3.30.830.10.FF15355,3.30.830.10,FF15355
2.60.470.10.FF475,2.60.470.10,FF475
3.30.1360.80.FF550,3.30.1360.80,FF550
1.10.10.10.FF223095,1.10.10.10,FF223095
3.90.1210.10.FF1087,3.90.1210.10,FF1087
3.30.40.10.FF54428,3.30.40.10,FF54428
3.40.50.720.FF162451,3.40.50.720,FF162451
1.20.1250.10.FF1542,1.20.1250.10,FF1542
2.20.110.10.FF6297,2.20.110.10,FF6297
2.40.155.10.FF20318,2.40.155.10,FF20318
1.20.58.60.FF2573,1.20.58.60,FF2573
1.10.1200.10.FF15090,1.10.1200.10,FF15090
3.10.20.90.FF7531,3.10.20.90,FF7531
3.30.70.330.FF17241,3.30.70.330,FF17241
2.10.25.10.FF6609,2.10.25.10,FF6609
3.40.50.300.FF264876,3.40.50.300,FF264876
1.10.287.770.FF33,1.10.287.770,FF33
2.40.50.200.FF75,2.40.50.200,FF75
2.40.30.10.FF37586,2.40.30.10,FF37586
1.10.1200.10.FF23710,1.10.1200.10,FF23710
1.25.10.30.FF331,1.25.10.30,FF331
3.40.50.2300.FF100681,3.40.50.2300,FF100681
1.10.287.190.FF35,1.10.287.190,FF35
2.60.350.10.FF1330,2.60.350.10,FF1330
3.10.450.40.FF2759,3.10.450.40,FF2759
3.80.10.10.FF27111,3.80.10.10,FF27111
3.30.505.10.FF1340,3.30.505.10,FF1340
2.60.120.640.FF1152,2.60.120.640,FF1152
2.10.25.10.FF13771,2.10.25.10,FF13771
3.30.70.960.FF431,3.30.70.960,FF431
2.30.30.40.FF5366,2.30.30.40,FF5366
3.10.580.10.FF63,3.10.580.10,FF63
1.10.287.700.FF343,1.10.287.700,FF343
3.90.10.10.FF3818,3.90.10.10,FF3818
2.130.10.10.FF20718,2.130.10.10,FF20718
3.20.20.100.FF15049,3.20.20.100,FF15049
1.20.5.110.FF291,1.20.5.110,FF291
3.40.50.620.FF16156,3.40.50.620,FF16156
2.60.120.260.FF14428,2.60.120.260,FF14428
3.40.220.10.FF2417,3.40.220.10,FF2417
3.30.60.30.FF3438,3.30.60.30,FF3438
3.90.1290.10.FF453,3.90.1290.10,FF453
2.60.40.10.FF136419,2.60.40.10,FF136419
3.30.1340.10.FF1031,3.30.1340.10,FF1031
4.10.80.10.FF47,4.10.80.10,FF47
2.40.10.220.FF201,2.40.10.220,FF201
3.30.70.330.FF22576,3.30.70.330,FF22576
3.40.50.790.FF1847,3.40.50.790,FF1847
2.10.50.10.FF7600,2.10.50.10,FF7600
2.170.300.10.FF2674,2.170.300.10,FF2674
2.60.40.10.FF137070,2.60.40.10,FF137070
2.60.350.10.FF8824,2.60.350.10,FF8824
2.40.10.10.FF28822,2.40.10.10,FF28822
3.40.50.2300.FF143029,3.40.50.2300,FF143029
3.40.50.150.FF135805,3.40.50.150,FF135805
3.30.420.40.FF77233,3.30.420.40,FF77233
3.40.1090.10.FF5858,3.40.1090.10,FF5858
3.30.1360.10.FF1723,3.30.1360.10,FF1723
1.20.1250.20.FF180136,1.20.1250.20,FF180136
3.40.1370.10.FF3647,3.40.1370.10,FF3647
